strategy,neutral_band,top_k_bear,exposure_bear,risk_bear_mult,obj,hold_net_sharpe,hold_net_cagr,hold_net_mdd,hold_calmar,hold_turnover,hold_avg_cost_pct,dev_net_sharpe,dev_net_mdd
bt20_ens,0.0,30,1.0,0.7,-0.32025880362301506,0.07181307459769429,0.0023016354721172583,-0.06719073314564405,0.03425525164501754,0.21930691046444678,0.013908670446338945,0.32483336453508305,-0.3254394196414617
bt20_ens,0.0,20,1.0,0.7,-0.32400061744991115,-0.03899372822388062,-0.00969712797247857,-0.07524202326109874,-0.12887914960537925,0.12189815830611724,0.008086800716329102,0.32744410045527833,-0.34639308054247586
bt20_ens,0.02,30,0.7,0.7,-0.3449193512676309,-0.060592119705219036,-0.01206505146108694,-0.0759418360342845,-0.15887226450042743,0.1155539882071701,0.00730760208335825,0.25529064963576126,-0.3076824116004214
bt20_ens,0.0,20,0.8,0.8,-0.4044664492911509,-0.08108346689184,-0.01381784385500906,-0.07388336002531615,-0.18702240734956252,0.12189815830611724,0.007867151860700587,0.33588713460162767,-0.336540663278182
bt20_ens,0.0,30,0.8,0.8,-0.406875042462396,0.024476296441711724,-0.002700766259808529,-0.06654547049708603,-0.0405852755962826,0.21930691046444678,0.013489673006495784,0.3317529664478477,-0.3170448660008468
bt20_ens,0.0,20,0.7,0.9,-0.41820959035261607,-0.0882644908256974,-0.014504796094820582,-0.07365684793362526,-0.19692393174211523,0.12189815830611724,0.007830543718095833,0.3373047983528274,-0.33490988834681457
bt20_ens,0.0,30,0.7,0.9,-0.42171667445468025,0.016384042667211107,-0.0035339835293780597,-0.0664379053448988,-0.053192277977942064,0.21930691046444678,0.013419840099855253,0.33269013834123196,-0.3156646098559567
bt20_ens,0.0,20,0.7,0.8,-0.516971672994601,-0.13981156953044202,-0.019314774706027382,-0.07207071753930305,-0.2679975358299196,0.12189815830611724,0.007574286719862563,0.3419771415360322,-0.32358494685951333
bt20_ens,0.0,20,0.8,0.7,-0.516971672994601,-0.13981156953044202,-0.019314774706027382,-0.07207071753930305,-0.2679975358299196,0.12189815830611724,0.007574286719862563,0.3419771415360322,-0.32358494685951333
bt20_ens,0.0,30,0.7,0.8,-0.528771766371583,-0.04184352498489421,-0.009362359202405135,-0.06568477826016716,-0.1425346853622964,0.21930691046444678,0.012931009753371567,0.33905680814899103,-0.3061528941817112
bt20_ens,0.0,30,0.8,0.7,-0.528771766371583,-0.04184352498489421,-0.009362359202405135,-0.06568477826016716,-0.1425346853622964,0.21930691046444678,0.012931009753371567,0.33905680814899103,-0.3061528941817112
bt20_ens,0.0,20,0.7,0.7,-0.6192230706246269,-0.19347029106715022,-0.02412701884117119,-0.07195252849675327,-0.3353185683010414,0.12189815830611724,0.007318029721629295,0.34506368377054936,-0.31241857295731423
bt20_ens,0.0,30,0.7,0.7,-0.641070107767991,-0.10272220902186413,-0.0151834538071145,-0.06504961775588303,-0.23341342087657882,0.21930691046444678,0.012442179406887875,0.3392268110626863,-0.29690264914735676
bt20_short,0.02,20,1.0,0.9,0.34944473932729625,0.277464445897357,0.028113681636507737,-0.09581430376081645,0.2934184201420343,0.10217391304347827,0.0075608695652173916,0.24356824970614827,-0.39742566679583724
bt20_short,0.05,20,1.0,0.9,0.33002997338849716,0.2677570629279575,0.026784092423171924,-0.09581430376081645,0.2795416902473528,0.10217391304347827,0.0075608695652173916,0.1952619843696882,-0.38977530143632466
bt20_short,0.05,20,1.0,0.8,0.2812944829765338,0.24125387803294898,0.022952630729075496,-0.09461693208214139,0.24258481250638356,0.10217391304347827,0.007317391304347827,0.18118512708846896,-0.3740373932804161
bt20_short,0.02,20,1.0,0.8,0.26860565655640745,0.23490946482288583,0.022133562640755056,-0.09461693208214139,0.23392813689562322,0.10217391304347827,0.007317391304347827,0.23844857351235454,-0.38247986197132244
bt20_short,0.05,20,0.8,0.9,0.23969903518275637,0.21874780238483874,0.01987036342324555,-0.09365903473920134,0.2121563977097955,0.10217391304347827,0.007122608695652174,0.1680379279358383,-0.3617048338796356
bt20_short,0.05,30,1.0,0.9,0.23324412646809278,0.2614734858010212,0.02541361147051835,-0.08946387494949226,0.28406562408420005,0.13695652173913048,0.009873913043478264,0.20952549742356327,-0.3849317906861339
bt20_short,0.05,20,1.0,0.7,0.22894321826051045,0.2129428059859104,0.01909740689307382,-0.09341956040346633,0.20442621235418715,0.10217391304347827,0.00707391304347826,0.16445845501244816,-0.3586573766229111
bt20_short,0.02,30,1.0,0.9,0.21359811900801262,0.2516504820709811,0.02414581559902329,-0.08946387494949226,0.26989458720243287,0.13695652173913048,0.009873913043478264,0.2750268504111837,-0.37423989061190543
bt20_short,0.02,20,0.8,0.9,0.199613593798108,0.19870508169251455,0.01734137490973353,-0.09365903473920134,0.18515432022144504,0.10217391304347827,0.007122608695652174,0.222032833305621,-0.3708205287102758
